Rating,Description,Pros,Cons,Author Info,Resignation Reason
4,"Good culture, okay comp, WLB that depends on team","The culture is one of the highlights of working at Microsoft - on most teams learning will be emphasized. If you can find the right team, WLB is amazing.",Career growth and WLB are very team / organization dependent. I know people that got promoted quickly by being on the right team and people who waited far too long for a promo they deserved because their management didn't want people moving quickly.,"Verified User Current Employee i***** Software Engineer II - Apr 28, 2022",
4,Proud to work for microsoft,Culture is great 401k match is up to $11000 - 50% of max limits,"Really depends on the manager and your department, things can vary","Verified User Current Employee S****** Senior Product Manager - Apr 28, 2022",
3,Not good for your early career,"- WLB so you have plenty of time play around with your life, or, leetcoding- given the work quality, pay is not that bad","- lacking of mentoring, which is the only thing I asked during my interview- low efficiency. Especially if you are at a low level, people just don't take you seriously. You don't get the responses you need, and if something goes wrong, that's your fault.- on-boarding process is shit. Not many reliable documents you can read.- dealing with fake people","Verified User Current Employee t******** Software Engineer - Apr 28, 2022",
5,"Great work life balance, challenging projects","Exposure to huge product, work with smart people, great work life balance.","Low pay, less benefits, tech stack aligns with Microsoft owned ones.","Verified User Current Employee a******** Software Engineer II - Apr 28, 2022",
4,"Great WLB, Bad TC",- Great Work-Life Balance- Treats employees really well- Easy to move lateral,"- Poor TC- Difficult to move vertical- (subjective) work with MS products and services (Azure, .Net, etc.)","Verified User Current Employee L***** Software Engineer II - Apr 28, 2022",
4,"Good work life balance , good management , low compensation compared to other FAANG.","Work life is pretty good .Benefits are good such as 401k match ,no insurance premiums , and health/fitness stipend",Compensation is lower than most other tech companies or FAANG.,"Verified User Current Employee F***** Site Reliability Engineer II - Apr 28, 2022",
4,Good overall,Technologies and challenges to learn with all the cloud platforms,Sometimes can get super overwhelming with all the info to work with,"Verified User Current Employee T***** Customer Success Specialist - Apr 28, 2022",
5,Best culture,Culture is great won good execs fantastic what you hear is true,Not many exec ext best every day lots of training,"Verified User Current Employee p********* Project Architect - Apr 28, 2022",
3,Good,Great people to work with and learn from around you,No life Other than work oriented. Training could be better,"Verified User Current Employee s****** Solutions Consultant - Apr 28, 2022",
3,Good stepping stone,"Wlb in some teams, culture is nurturing. Growth is good at lower levels.",🥜. Wages have stagnated. Everyone talks about leaving for more pay.,"Verified User Current Employee c***** Senior Software Engineer - Apr 28, 2022",
