Rating,Description,Pros,Cons,Author Info,Resignation Reason
4,Great first job,Great co workers and supportive environment. The work isn't particularly demanding,Pay/raises are horrendous in Data. There is no clear path for growth aside from managerial role,"Verified User Current Employee n******** Data Analyst - Mar 23, 2022",
3,Great work life balance,"Benefits, and the people you will meet! Job security as well.","Culture, management, against remote work. Never knowing pay when moving internally.","Verified User Current Employee O***** Data Analyst - Mar 22, 2022",
4,Great company if you are in Initial to mid phase in your career,Great Work life balance great leadershipGood culture Good benefits like free health insurance and decent 401K,"The technologies they use are all In-house They have their own data bases, middleware and front end technologies","Verified User Current Employee t***** Senior Software Engineer - Mar 22, 2022",
4,"Good WLB, lots of legacy tech and career growth is limited","* Big pond, lots of teams to choose from* Not just tech people at the company* Good work life balance* Entry level comp is pretty good","* Limited career/comp growth compared to FAANG* Lots of legacy tech, there's some of it on just about every team* Culture is a mix between tech and finance","Verified User Current Employee l********* Software Engineer - Mar 22, 2022",
3,Great WLB and technical growth if you find the right team,"Good health benefits, generally friendly culture. Technical growth is there if you ask for it.","No defined path for IC, projects can be slow/hard to fit in technical improvements.","Verified User Current Employee I***** Senior Software Engineer - Mar 22, 2022",
4,Great experience and culture,"Really good benefits, technical knowledge and offices are really good","Tech debt, growth, raises aren't as good as other companies.","Verified User Current Employee s******** Financial Software Engineer - Mar 21, 2022",
4,Good work life balance.,Bloomberg is a good stable company. They are consistently growing their tech group.,Not much of a career path. Most departments want you to do the job for 10 years. There is not a set career path or levels and there is zero transparency in comp,"Verified User Current Employee w***** Human Resources - Mar 21, 2022",
4,Great WLB,Great Work Life BalanceGood pay for University HiresFriendly culture,"Mid career growth is slowUnless you are the top performer, your pay doesn't keep up with the market.","Verified User Current Employee b***** Senior Software Engineer - Mar 21, 2022",
3,Great wlb. Limited career paths for IC,"Amazing WLB. Friendly environment. Low stress. Really, really rare to get pipped.",Low compensation. Limited growth for ICs. No transparency with compensation and ranking.,"Verified User Current Employee Q***** Senior Software Engineer - Mar 21, 2022",
4,Great place for early stage career development,1. Good work life balance to work or think on future plan2. Not very stressful overall3. Working culture on my team in awesome,"1. For mid career development, the path is not very clear","Verified User Current Employee j********* Software Engineer - Mar 20, 2022",
4,Great place to be,"Excellent opportunities, lots of talented people, emphasis on training, great food","Not so great salary wise, sometimes work can get monotonous","Verified User Current Employee x***** Senior Software Engineer - Mar 20, 2022",
5,Great work life balance,"Work life balance and culture is second to none, job security is fantastic. Really motivates you to give to this place as much as you can in your 8 hours.","TC could be better, food offerings could be better, but otherwise fantastic place to work.","Verified User Current Employee B******** Senior Software Engineer - Mar 19, 2022",
5,Solid place to start you career,"Great WLB, supportive managers and good career trajectory, can easily switch teams.","Dev op set up is not always ideal, have to do manual rollouts regularly.","Verified User Current Employee h***** Software Engineer - Mar 19, 2022",
5,Great people,"The culture is very open and supportive, people are willing to help regardless of level in the hierarchy. You can easily suggest if you want to do something and you'll get the chance to do it.","Practices could be better, most teams are not using the most cutting edge technology and have some old C++ code - but they're working on it.","Verified User Current Employee q***** Software Engineer I - Mar 18, 2022",
4,A great place to work with healthy culture,The work environment is the best perk. A very relaxed setting with collaborative mindset.,Can feel very comfortable at times. There is also less transparency on your growth.,"Verified User Current Employee l******* Senior Software Engineer - Mar 18, 2022",
4,Great place to work,"Good work life balance, interesting problems, decent pay, decent people. Management seems interested in working with people to address issues they have.",The highest levels of management seem to have some difficulty in figuring out what's making people at the bottom happy or upset.,"Verified User Current Employee B***** Software Engineer - Mar 17, 2022",
5,Overall pretty good,"Truly does encourage you to experiment, take risks, try new things.","Still struggling to shed ourselves of some legacy tech. Direction is right, but it can be hard when its so baked into the fabric of the system","Verified User Current Employee K***** Engineer - Mar 17, 2022",
5,Great WLB!,Good Work life balance and good people. Overall great place to work.,Not really much. It won't compete with FAANG but a good WLB makes it a good place,"Verified User Current Employee t******** Software Developer - Mar 16, 2022",
4,Overall good,Comp increases can be solidGenerally strong WLBGreat benefits paid by company,Mess of disorganization and competing priorities Frustrating length of time to achieve anything,"Verified User Current Employee w******* Senior Product Manager - Mar 16, 2022",
3,More News Than Tech,Some great people and immense scale. Easy to move to a new team.,You won't be paid enough for your skills to dry up so badly. No career growth. Compensation grows very slowly. Lots of terrible managers.A lot of the old timers have ego problems.,"Verified User Current Employee U***** Senior Software Engineer - Mar 16, 2022",
4,Great company to work for,Great benefits and travel perks. Great work life balance. Management was not great.,"Transparency or lack there of, not great management, limited extreme upside potential as there is no commission. steady pay increases.","Verified User Current Employee c***** Relationship Manager - Mar 15, 2022",
2,Great place to coast,"Meet lots of fun other people, chill, relaxes (depending on team)","Legacy technology, old brain management, and incompetent managers to say the least","Verified User Current Employee k********* Senior Software Engineer - Mar 15, 2022",
4,Meritocracy and Networking,"Love the culture. Within Global Data and excluding new hires still learning/adopting what makes BBG great, there is a genuine care for quality data, and being a premium service to clients (both external clients and internal clients).After you meet a few people you'll begin to understand.","I often wonder what my next career might look like, and what it might feel like to be given a reasonable amount of work to do. And not needing to be an octopus handling so many things at once. It can be a challenge for sure. As an IC, the optics and navigating career growth can be daunting. Being a 'yes' person def helps but only adds to the amount of work you're taking on. It does have it's benefits as your network will grow faster and you're more apt to discover what energizes you. Plenty of people 'make' their career this way. But it has its drawbacks.","Verified User Current Employee z***** Financial Information Services Team Leader - Mar 15, 2022",
2,Great if you want to just coast and do nothing,Decent benefitsDecent foodBig finance industry Lots of financial learnings,"Tech is far behind, outdated. They dont even use linux in some partsIf your on a function team, your not going to do anything interestingIf you dont like the nitty gritty finance stuff your going tk hate itIts not a tech company, they barely have a cto. The stuff you work on is outdated and barely even in use anymore","Verified User Current Employee s********* Senior Software Developer - Mar 15, 2022",
4,"Great work life balance, but average compensation. Not such great tech and dwindling benefits.",Work life balance is good most timesAcceptable compensation Empathetic leadership,Tech StackDwindling benefitsMixed RTO messagingLimited growth opportunities,"Verified User Current Employee s********* Engineering Manager - Mar 13, 2022",
4,"Wlb is fine, tech stack is old.","Stable career, wlb is fine if choose to stay where you are.","No sense of career progression, less chance of promotion, no rsu.","Verified User Current Employee L******* Software Engineer - Mar 12, 2022",
4,Wlb + decent comp,Great work life balance and decent comp with good health benefits,"Comp needs to get competitive, perks need to be improved","Verified User Current Employee B**** Software Engineering Manager II - Mar 12, 2022",
4,Great work life balance and exciting work,"Smart people and compassionate managementExciting and challenging workExcellent work life balanceFree food, free access to museums, galleries etc.",Below market payLots of legacy codeLess opportunity for growth,"Verified User Current Employee e*** Software Applications Engineer II - Mar 12, 2022",
