Rating,Description,Pros,Cons,Author Info,Resignation Reason
5.0,Great culture ,Great culture and people are very supportive and very friendly ,Hours can be quite long sometimes because of time zones,"Verified User Current Employee  t*****  HR Associate - Jun 28, 2021",
3.0,WLB is not as good as I thought,1. Overall my group and my manager is nice2. Benefits,1. Workload is huge in some of the teams.2. A bit toxic on culture side,"Verified User Current Employee  R*****  Software Engineer I - Jun 27, 2021",
3.0,neutral,"- Good benefits (recharge days, well-being for life, 401k match, espp)- Coworkers are nice to work with",- Lots of maintenance work to do- Work moves very slowly due to lots of checks in place before you deploy,"Verified User Current Employee  o******  Software Engineer I - Jun 27, 2021",
4.0,Good work life balance,"Generally good work life balance, although it can depend on the team. Lots of great resources to learn and grow. Colleagues are very mature and has a great culture.",Management needs to figure out a strategy and stick with it.,"Verified User Current Employee  Y*****  Product Designer - Jun 26, 2021",
3.0,Not bad,"The company offers great benefits and work life balance. The stack is fairly modern but just like any other company, there's still a monolith to wrangle with. Easy to get comfortable if that's what you are after.",It's very easy to get comfortable at Intuit and that might be the most dangerous aspect. Certain teams stagnate and learning opportunities seldom ever come. All that to say career growth is slow and you're often competing with your peers for opportunities to stand out. My manager favors certain people so the rest of us fall off the radar and don't really get considered for promotion.,"Verified User Current Employee  o*****  Software Engineer - Jun 26, 2021",
2.0,Good place to rest and vest,Good pay and compensation. Company has historically done well in the market,"Lots of politics, infighting between teams which can be demotivating","Verified User Current Employee  z*****  Product Manager - Jun 25, 2021",
5.0,excellent company ,Intuit is really the best place to work. You will enjoy the culture and benefits,i have to not found any con on this company yet. ,"Verified User Current Employee  g*****  Site Reliability Engineer - Jun 25, 2021",
4.0,Good company,"Good pay, great culture, good work life balance ( of course, things change depending on the team u are working)","Nothing so far, will updated I have any in next year ","Verified User Current Employee  m*****  Software Developer II - Jun 25, 2021",
4.0,great wlb but low career growth,great work-life balanceawesome company culture nice location in the valley,career growth is limitedpoor middle managementlow comp,"Verified User Current Employee  c*****  Product Manager - Jun 22, 2021",
1.0,Worst place to work,SalaryOnly salary and perks are the motivating factorSpotlights for no reasons,"No workPoliticsNo job securityNo technology, legacy software that intuit keep on sellingTax lobby","Verified User Current Employee  A*****  Senior Software Engineer - Jun 21, 2021",
5.0,"All round development, enthusiastic managers","* Great work life balance* Managers encourage engineers to innovate * Some teams are fast paced * In depth knowledge of software development and other domains, not just programming, but also in architecture and design considering non-functional parameters important.","* Some teams are slow paced consequently the learning is slow, which is not very ideal for a junior engineer looking to explore the domain, such as accounting and tax filing, and software development. ","Verified User Current Employee  I*********  Software Engineer II - Jun 20, 2021",
2.0,Horrible management and very toxic culture ,"It used be good 3 hrs ago, it's just been downhill since then ","Bad politics, bad leadership, terrible culture of pulling others down. Really hard to do the right work and get recognised, completely works on who knows whom ","Verified User Current Employee  F*****  Senior Engineering Manager - Jun 19, 2021",
5.0,My manager worked with me on my next role. Gave me a playground to excerise next role and helped me get promoted. ,"Futurist company goals, good charter in all organizations, management is good.",So many communities are there. We uselessly waste money in these communities ... ,"Verified User Current Employee  y*********  Senior Software Engineer - Jun 19, 2021",
5.0,Good Wlb,Intuit has a very good work life balance. My manager is very nice,The salary is not very high. And we mainly focus on TTB,"Verified User Current Employee  x*****  Software Engineer - Jun 16, 2021",
4.0,"Overall, had a good experience here",Really good work/life balance (on my team anyways) and smart leadership who's pretty good at communicating visions.,"It's rough as an early career PM - you're not always supported, you don't actually get resources to work with all the time, you sometimes get put on bullshit projects.","Verified User Current Employee  S*********  Product Manager I - Jun 16, 2021",
4.0,Great work life balance,Work life balance is good and a lot of vacations. Benefits are good ,Salary is lower than other big tech company. Code is a little old.,"Verified User Current Employee  Y*****  Senior Front End Developer - Jun 16, 2021",
5.0,Great balance of interesting work and personal life,Interesting workGreat work life balance overallNice stock appreciation ,Not a lot of innovation Constant migration to new technology (which can be bad or good),"Verified User Current Employee  i*******  Software Engineer - Jun 15, 2021",
4.0,Hidden gem,Good wlb with meaningful projects to work on / customer obsession culture ,Lots of friction trying to inject new component into the old system ,"Verified User Former Employee  N*****  Data Scientist - Jun 15, 2021",Tech growth opportunity / compensation  . . . . .
4.0,Great company to work with,Good environmentHelpful colleagues Employee first Good work culture Stock options,"I feel there is no much cons here, but the salary is not as per market standards . But i am sure management is already working on it ","Verified User Current Employee  S*********  Staff Software Developer - Jun 14, 2021",
4.0,"Great Work Life Balance, Focus a lot on innovation and culture.","Great Work life balance and benefits.Has a very good culture and team first attitudeGet to work on some of interesting techs, most of teams focus on tech upgrades, innovationInteresting domain to work on - accounting and tax",Favouritism culture in some of the teamsSome unfair decisions to improve diversitypay is not competative,"Verified User Former Employee  s******  Software Engineer - Jun 12, 2021","Frequent Management reorgs, Favouritism, less products to work on and slow career growth "
3.0,Great work life balance,Good work life balance. Lots of random benefits and rewards.,Work is not as interesting as it could be at other places,"Verified User Current Employee  g*****  Software Engineer - Jun 12, 2021",
4.0,Good place to grow,1. Good place to grow. 2. Once and caring folks3. Good benefits4. Customer obsessed ,"1. Sometimes, favoritism and politics are played by a bunch of individuals in leadership.2. Compensation not competitive if you stay long3. Depending on the group - Work-life balance could change ","Verified User Current Employee  E*****  Designer - Jun 12, 2021",
4.0,Support work,"Nothing to note, IDC get support work which make people almost not employable after some time. ",Can be better with good benefit and great NPS contribution ,"Verified User Current Employee  B*****  Senior Software Engineer - Jun 11, 2021",
3.0,"Good wlb, so so career advancement","Great work life balance, tc is relatively good and benefits are great","Management could improve, and it's not as exciting work, career progression isn't best either","Verified User Current Employee  e*****  Software Applications Engineer - Jun 10, 2021",
5.0,Great work life balance and culture,"Team and colleagues are supportive, managers are all very friendly. They really put a lot of effort in maintaining a positive work environment","Pay is not the same as other tech companies, laid off 750 employees","Verified User Current Employee  I*****  Software Engineer II - Jun 10, 2021",
4.0,Depends what team you are on. Could be hit or miss,Pretty chill. Environment not hostile. Good visibility. Lots of perks,"Not much mobility, go getter might get burned out idling ","Verified User Current Employee  m****  Product Manager - Jun 9, 2021",
3.0,Always and everywhere short staffed,Compensation is decent at least initially. Friendly people and teams.,Lack of innovation and lateral thinking at all levels. Terribly stagnant upper management ,"Verified User Current Employee  a********  Senior Software Back End Engineer - Jun 7, 2021",
5.0,Awesome company ,"Great benefits, compensation and work life balance. Lots of interesting and challenging projects.",Internal dev tools are improving but still not mature. Please keep improving and invest more in open source.,"Verified User Current Employee  h*****  Software Applications Engineer - Jun 7, 2021",
4.0,Great wlb too much corporate overload ,Lots of benefits for employees. Seem like they genuinely care about employees welfare. ,"Too much planning, pencil pushing work. Feels over staffed so tough to get assigned on a good project.","Verified User Current Employee  A*****  Product Manager - Jun 6, 2021",
4.0,Decent company,You will love the company if you get into a good team. Intuit as a company is great!,Some pockets of Intuit have mediocre and highly political people.,"Verified User Current Employee  D*****  Staff Data Engineer - Jun 4, 2021",
4.0,political but okay,"possible to work only 40 hours per week consistently. decent compensation and benefits. people are nice, very few jerks. ",super political and hierarchical. yes-man culture all the way up to the top. very hard to get promoted to manager level. ,"Verified User Current Employee  h*****  Senior Product Manager - Jun 3, 2021",
4.0,Depends on the role and team,Great benefits and wlb. Independence in things that you want to work on,Constant flux. Compensation Is comparatively low to other companies in the market,"Verified User Current Employee  y*****  Engineer - Jun 3, 2021",
4.0,Great work life balance,Good WLBlot of leaves Lot of benefits Good compensation ,"If you are technical guy don't choose this company , some times mostly you will do documentation ","Verified User Current Employee  s******  Senior Software Back End Engineer - Jun 3, 2021",
4.0,"Better than most companies, can be better",- Decent work life balance- Good people- decent pay,- Too many useless rules- Refreshers aren't good enough.,"Verified User Current Employee  i*********  Software Engineer - May 29, 2021",
