Rating,Description,Pros,Cons,Author Info,Resignation Reason
5.0,Great work life balance ,People are helping.Work life balance is perfect.Food is free.,"1. Slow work, so learning will be slow2. Low compensation","Verified User Current Employee  D*********  Software Developer III - Mar 31, 2022",
3.0,No work life balance. Back to back meetings with triple booking and no support to reduce workload. ,People are great as individuals. Unlimited pto. Colleagues support each other. ,No work life balance. Support to remove barriers ends up being more work. Teams spread across us and India so you end up meeting from 7am til 11 pm. Very difficult to get POC for teams. ,"Verified User Current Employee  p*********  Technical Program Manager - Mar 31, 2022",
4.0,Low pressure environment,Pretty good compensationLow pressure environmentGood work life balance,Not a lot of mentorship for entry level (on my team at least),"Verified User Current Employee  q*****  Software Engineer - Mar 30, 2022",
4.0,Decent work life balance ,Work life balance is good Good benefitsYearly guaranteed refreshed,Career Growth Lack of clarity from upper managementVery slow immigration process,"Verified User Current Employee  f********  Software Engineer IV - Mar 30, 2022",
2.0,Overall not a bad company except few bad apples,Can move around to different teams. Lot of interesting work happening. Money is decent not bad.,Lot of politics. Constant scope grab happening. Lot of favoritism. Old school ways of working. People don't want to move fast but still dream of beating Amazon.,"Verified User Current Employee  U*****  Senior Director, Software Engineering - Mar 30, 2022",
3.0,"Decent wlb, but management needs to chill",Good wlb.TC is acceptable.Good perks and nice office space.,"Management tries to micro manage sometimes.Weekly demos, even though sprint is 2 weeks long.","Verified User Current Employee  X*****  Senior Software Engineer - Mar 30, 2022",
2.0,Forget about work life balance.,Open door policy Trying to catch up with Technology Calm app  in Bentonville ,Work life balanceTCHiring processLeadership alignment HR - Manager Policies ,"Verified User Current Employee  U*****  Software Applications Engineer IV - Mar 29, 2022",
3.0,Overall good company,1. good workplace2. nice policies and facilities3. moving to new technology,1. lot of India vs US politics2. Very less Technical learning,"Verified User Current Employee  e*****  Senior Software Engineer - Mar 29, 2022",
3.0,Can be bad to great depending on the org,considering all there's lot of perks and if luckyily under good org can be a great learning experience ,matrix org across can create ambiguity in terms of true ownership between US and IDC groupscompensation can be low if previous salary was not as per industry standards ,"Verified User Current Employee  V*****  Engineering Manager - Mar 29, 2022",
1.0,No wlb and low pay,Tech stack is goodThings at scaleLearn new technologies,No wlbLow payTeam politicsBad ManagementSlow career growth,"Verified User Current Employee  q*****  Senior Software Engineer - Mar 29, 2022",
