Rating,Description,Pros,Cons,Author Info,Resignation Reason
5,Great WLB,- people respect you when you tell them you work at google,getting promoted is hard. too much emphasis on perf and self promotion,"Verified User Current Employee S***** Software Engineer - Apr 21, 2021",
4,Overall good.,"Good work life balance, interesting problem to solve, can work in large scale distributed system.","Experience differs largely for different teams, promo can be slow.","Verified User Current Employee J***** Software Engineer - Apr 21, 2021",
4,Great work life balance,"Work life balance, perks, company culture are top notch. The compensation is fantastic","It's a huge company. At the lower levels, the work is not that interesting. Your career progression is slow compared to startups.","Verified User Current Employee n**** Software Engineer - Apr 21, 2021",
4,Great WLB,U have tons to learn if you want to. GOOGLE might have the best compensation/work time ratio among the big tech companies. Less a*shole and most ppl are friendly.,Cannot beat other big names and startups in compensation. Easily to get coasted,"Verified User Current Employee i****** Software Engineering - Apr 21, 2021",
4,"It's not the same as before , it's a big company","Work.life balance is good, people are collaborative, thats about it","Slow, risk averse, takes forever to decide on anything. Search overshadows everything","Verified User Current Employee K***** Product Manager - Apr 21, 2021",
4,Good place to coast with right team and manager,Can transfer out of bad teams. Rarely work night and weekends. Good selection of cafes before COVID.,Heavy process. Slow company. Promo culture encourages designing extra complexity.,"Verified User Current Employee m***** Software Engineer - Apr 21, 2021",
5,There's something about Google,I feel honored to work for a company that genuinely provides free products that help millions of people get the right information daily. Also it doesn't hurt that the work life balance is awesome and the pay is good.,"Career growth is probably not as that fast as it maybe at a small to mid sized company. But hey, you can't get everything right?","Verified User Current Employee k***** Product Marketing Manager - Apr 21, 2021",
4,"Great work life balance, A- Salary, B+ career growth",Land in the right team and you'll have the the best time. so much to learn. Many smart people. Very mindful management.,"Boring performance eval processHeavy on design doc, very low agilitybad teams can be REALLY badcomp is A- in most offices","Verified User Current Employee c**** Software Engineer - Apr 21, 2021",
4,TVC - Life as second class,People genuinely enjoy working for Google and believe in the company.,"Being a TVC reminds you constantly that you're not actually a part of Google, no matter how critical your function is to the business.","Verified User Current Employee E***** Systems Administrator - Apr 21, 2021",
3,Perf driven culture,"Good web, pay, and benefits. People are very smart and have good insights.",Everything is overindexed on promo and perf. Everyone seems perf obsessed,"Verified User Current Employee F***** Software Engineer - Apr 21, 2021",
5,Overall great company,A lot of free food and snacks. The people are really smart.,Needs help with promotions and career growth. There's a lack of growth once you get into the role.,"Verified User Current Employee l******* Engineer - Apr 20, 2021",
5,Great,Work life balance is awesome for life to be better,Hard to upscale in terms of higher position and higher levels,"Verified User Current Employee O******* Data Analyst - Apr 20, 2021",
4,All life no work,"Great WLb, good culture, nice pay, smart ppl, ok management",Have to play the perf game twice a year. Limited growth.,"Verified User Current Employee M***** Software Engineer - Apr 20, 2021",
3,Good work life balance,Nice people to work with Ok pay after getting other job offerAmenities,On-site work requirementHard to get promotionPay can be better,"Verified User Current Employee L***** Program Manager - Apr 20, 2021",
5,Great work life balance,"Great work culture, great work life balance, opportunities to grow",Compensation is not as good as some other big companies,"Verified User Current Employee c******** Software Engineer - Apr 20, 2021",
5,"Huge impact, great colleagues & amazing culture!","Whatever you have seen & heard about the perks & in office culture - it's all true! Lives & thrives on its values, I haven't seen a company which takes employee feedback with such sincerity.","Being transparent & bottom up, can sometimes feel taking too long to ship products & add launches","Verified User Current Employee l***** Product Manager - Apr 20, 2021",
5,Good money but slow career growth,Above market compensation. Total comp will never be an issue.,Hard to get promoted beyond L6/7. It's mostly an attrition game where you wait for someone to leave.,"Verified User Current Employee V***** Business Development - Apr 20, 2021",
5,Lots of perks,"Lots of benefits, at least gives impression to care about employees",Super nice on surface but competitive underneath. Lots of quant and data.,"Verified User Current Employee A***** Sales - Apr 19, 2021",
5,Great WLB. Pretty good comp. Leadership is thrashy.,Smart people. Useful products (mostly). Great work life balance. Comfortable pace of work.,Leadership creates thrash. Perks are constantly being cut. Company might have its best days behind it.,"Verified User Current Employee h***** Product Manager - Apr 19, 2021",
5,Pretty good if u are lazy,Wlb. Easy ppl. Pressure to be very googley and nice,Slow. Everything is so slow here. It's a grind forever,"Verified User Current Employee h********* Senior Software Developer - Apr 19, 2021",
5,Great benefits,Work life balanceDiversityNo Jerks policyGood cultureSmart people,Too bigNot aggressive enoughToo slowNot innovative enough,"Verified User Current Employee D***** Software Engineer Manager - Apr 19, 2021",
4,Solid,Work life balance is nice and you get nice perks,Career growth is pretty stagnant and most teams move slow,"Verified User Current Employee B*********** Software Engineer - Apr 19, 2021",
4,Good wlb but moves quite slow,Flexible working hour and good hourly pay. Decent health insurance and other perks.,"Moves quite slow, sometimes the work is boring and unclear about caree growth","Verified User Current Employee S***** Data Scientist - Apr 19, 2021",
5,Supportive environment,Managers and fellow engineers are very supportive. High level of engineering excellence. Good WLB.,Not much autonomy. Promo criteria could differ within different teams.,"Verified User Current Employee T***** Software Engineer II - Apr 19, 2021",
4,Great company to spend a long time at.,Opportunities to learn from great coworkers.Mobility among teams are good.,WLB is hard.Pace is slow due to various necessary processes.,"Verified User Current Employee z***** Software Engineer - Apr 19, 2021",
3,Not the most exciting company to work on,- Abundance of resources to provide education on language & system design if you're motivated to learn- Unique perks such as educational reimbursement.- Management cares about diversity and inclusion.- Not much politics.- People are generally very friendly and competent.,- Slow career progression with the perf process.- Not much choice with initial projects or teams to work on.- Most projects are boring and include a lot of maintenance or migration work. - Boring projects are very complex too and require years to complete.- Compensation is not the most competitive.- Very little work from home perks.,"Verified User Current Employee J***** Software Engineer - Apr 19, 2021",
4,Join to retire,Good work life balance and benefits. A great place to retire,"Big company, a lot of internal politics. Your manager really makes the difference. ICs have small scope.","Verified User Current Employee t***** Sales - Apr 19, 2021",
4,Great company to work for,"Impact, Scale, Talented peers and amazing perks for a good WLB",Slow for your career growth from a comp and work pov.,"Verified User Current Employee z***** Produce Manager - Apr 18, 2021",
5,Dream company,"Pay is good, learn new stuff, ez to transfer to a new team. Wlb",Nothing to complain about.may be more benefits on the wellbeing,"Verified User Current Employee Q***** Software Engineer - Apr 18, 2021",
4,An overall great panckage,"It's great to work on products with 1-2B users, get a great pay, have meaningful impact, learn From the best, enjoy the company of smart people, and all while living a healthy balanced life.","Slow moving in many aspects, lack of growth, several coasters around","Verified User Current Employee D***** Staff Software Engineer - Apr 18, 2021",
5,Interesting work and good work life balance,"Lots of learning opportunities, very collaborative culture, great leaders, and good work life balance",Growth opportunities are more limited as you become more senior,"Verified User Current Employee z******* Program Manager - Apr 18, 2021",
5,Great WLB/comp,"-almost unbeatable comp / WLB combination- perks (401k, food, micro kitchens, etc). - Competent and friendly coworkers",Career progression can be slow and based on luck of project launches. Bureaucracy that comes with working at a large company.,"Verified User Current Employee r******** Software Engineer - Apr 18, 2021",
4,Good company to boost career opportunities,Good for C V good technology and decent comp if you can hit target,Targets impossible to hit. Very political. Inconsistent culture across teams but in general it's becoming quite toxic,"Verified User Current Employee N***** Client Account Manager - Apr 18, 2021",
5,Great Work Life Balance,You work almost less than 6 hours everyday and still get top compensation of the industry.You have enough time to learn a lot things by yourself.,Career growth is kinda slow.Project progress slow and tedious.,"Verified User Current Employee l******* Senior Software Engineer - Apr 18, 2021",
4,Balanced company,- Good work life balance with good benefits.- colleagues are nice.,- Career maybe slower.- too much politic.- design doc first culture.,"Verified User Current Employee y****** Staff Software Engineer - Apr 18, 2021",
3,OK-ish,it is good for starting your career as a new grad.,work gets mundane after a while; pace is quite slow.,"Verified User Current Employee s******* Software Engineer - Apr 18, 2021",
